prop,option,nodes,material,thickness,width.0,width.1,width.2,height.0,height.1,height.2,category.0,category.1,category.2,category.3,nativeModel,nativeModelSettings,notes,productLink,xmodel,image.0,image.1,image.2,image.3,image.4,image.5,image.6
Alpha Bulb,Upright Q,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright R,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright S,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,Alpha Bulb - Upright S.xmodel,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/Alpha_Bulb_129x.JPG?v=1569162362,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright T,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright U,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright V,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright W,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright X,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Upright Y,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-bulbs?_pos=1&_sid=86e13f544&_ss=r,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Letter - Box Style Font,A,73,Coro,10,,,,24,40,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-letters-box-style-font?_pos=1&_sid=29ae772c8&_ss=r,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/received_672155463587068_800x.png?v=1585869685,,,,,,
